Codigo_Barras;Codigo_Barea
5057581;5057581
2970140;5057581
"8437002666378";5057581
"8436009024143";5059117
"8436009024280";5059117
"8422807001011";7568960
8422807001028;7569063
8422807001066;7569166
8032472005063;7750008
8032472003090;7750007
8032472004301;7750006
8032472002086;7750005
8032472004967;7750003
8032472005117;7750002
8032472005100;7750001
8032472005551;7750004
8410515003793;7180006
18410515003790;7180006
4000530535153;7915605
4000530547064;7912127
8520055;8520055
8002527302003;8520055
28002527302007;8520055
8435302400005;7918777
4000530612434;7912126
7712025;7712025
8412122100766;7712025
8412122742041;7712025
8412122742058;7712025
8425131011169;8520003
8413520001297;8042064
8520035;8520035
8002522503016;8520035
28002522503010;8520035
8425131011077;8525952
8520070;8520070
8414271630057;8520070
8520069;8520069
8414271630385;8520069
8520043;8520043
8002522503306;8520043
28002522503300;8520043
8520062;8520062
8411922085211;8520062
8425131011121;8526055
8520063;8520063
8411922085228;8520063
8425131011107;8525856
8412955025045;8420451
8425131011008;8525650
4000530631411;7912070
7110014;7110014
8420568064559;7110014
38420568064550;7110014
48420568064557;7110014
8411660180209;7110390
8411660180278;7110390
8411660180285;7110390
8411660180377;7110390
8411660180803;7110390
8411660181299;7110390
18411660008159;7110390
18411660008609;7110390
18411660180275;7110390
18411660180374;7110390
7200163;7200163
8410952063114;7200163
38410952006303;7200163
8410104165116;7118585
18410104165113;7118585
7111060;7111060
3141360052005;7111060
8410104003456;7111060
8410104022068;7111060
8410104068264;7111060
8410104124632;7111060
8410104484910;7111060
8410104489410;7111060
13141360052002;7111060
18410104003453;7111060
28410104022062;7111060
28410104068268;7111060
7200001;7200001
8411944151093;7200001
18411944151090;7200001
58411944019091;7200001
8411944002029;7200561
28411944002023;7200561
48411944002027;7200561
84119440020294;7200561
8411056580156;8061659
8413600854003;8061659
18411056580153;8061659
7180574;7180574
8437003541001;7180574
8437003541513;7180574
8437003541704;7180574
8437003541872;7180574
8437004109590;7180574
8437004109705;7180574
84370041097058;7180574
7187578;7187578
8410436244817;7187578
8410436244824;7187578
7189878;7189878
8410436245180;7189878
8410436245197;7189878
3362290004616;7412901
13362290004613;7412901
8436005992712;7412909
8436032711805;7412909
18436005992719;7412909
18436032711802;7412909
8620013;8620013
7613034096081;8620013
7613034096098;8620013
84101680941;8620010
8410168094148;8620010
7613033846069;7910056
7613033846076;7910056
3539370022352;8620005
3539370422350;8620005
3539370526126;8625551
5010348217478;8620076
8410168270061;8620076
7613032778736;8626756
8008180845116;8626756
4510236;4510236
5010348248779;4510236
3539370525587;4510111
7613034554239;8627757
7613034554642;8627757
5010348208070;8625654
5010348208179;8625654
3539370530864;8626852
5010348356177;8626852
7613033293573;8620011
7613033293580;8620011
3539370528229;8620080
8410168212504;8620080
5010348260078;8620452
3539370532097;4510100
5010348320079;4510100
8410168410887;4510100
3539370528182;8620555
3539370528076;8620953
3539370030234;4510156
3539370130231;4510156
3539370521879;4510156
7613034554673;8627758
7613034554680;8627758
5010348350076;8621255
8008180845444;8621255
3539370522890;8625352
3539370520858;8627752
7613034149411;8627752
7613034487797;8627754
7613034487803;8627754
7613034487827;8627753
7613034487834;8627753
8627755;8627755
7613034487957;8627755
7613034487964;8627755
7613034488053;8627756
7613034488060;8627756
7613033122576;8627788
7613034106520;8627788
8410168270108;8625455
3539370530543;4510155
5010348222779;8625153
3539370522883;8625256
3539370422169;8620091
8627773;8627773
7613034169150;8627773
7613034169167;8627773
7613034178374;8627759
7613034178381;8627759
8627785;8627785
5010348215672;8627785
7613034106209;8627785
7613034106216;8627785
8623355;8623355
3539370521541;8623355
7613034189172;8623355
4510170;4510170
5010348210370;4510170
3539370428505;8620102
5010348238077;4510122
8008180852466;4510085
8627784;8627784
7613034555472;8627784
7613034555489;8627784
8620012;8620012
3539370024707;8620012
3539370424705;8620012
4007221000051;8620006
8427235090118;5544482
7310018;7310018
8411126020285;7310018
18411126020282;7310018
3430055;3430055
8422031090072;3430055
3430350;3430350
8422031090065;3430350
8410158432080;3430003
8410158432080;3430003
7380026;7380026
8411047133156;7380026
18411047133153;7380026
7380025;7380025
8411047133149;7380025
18411047133146;7380025
7600758;7600758
8410412020213;7600758
18410412020210;7600758
8410412050203;7380009
8410412050234;7380009
18410412050200;7380009
7750687;7750687
6001159111993;7750687
36001159111994;7750687
7380038;7380038
8411126037054;7380038
28411126037058;7380038
7380016;7380016
7209085000;7380016
8411126020605;7380016
28411126020609;7380016
8410213150102;7382368
8411126059032;7382368
8411126236983;7382368
28411126059036;7382368
28411126236987;7382368
48411126236981;7382368
8411126021206;7380017
28411126021200;7380017
7380085;7380085
3574660196382;7380085
3574660196399;7380085
3574660408805;7380085
3574660408812;7380085
3574660509786;7380085
3574660662207;7380085
8410207175869;7380085
3574660329704;7380019
8410207115896;7380019
3574660329612;7380018
8410207115872;7380018
7380096;7380096
3574660249255;7380096
3574660249316;7380096
3574660408744;7380096
7600143;7600143
3574660078879;7600143
7600294;7600294
3574660153217;7600294
3574660153262;7600294
3574660184525;7600294
3574660196450;7600294
3574660196467;7600294
7380074;7380074
3574660034967;7380074
3574660196313;7380074
3574660196320;7380074
3574660408775;7380074
3574660509816;7380074
3574660662177;7380074
8410207175852;7380074
7380008;7380008
8410104410315;7380008
18410104410312;7380008
8427483214403;7751026
8431081000191;7751026
7320125;7320125
8411135269026;7320125
18411135269047;7320125
8430000360057;7751103
8430000360064;7750106
8427483010012;7750281
8430000360224;7750693
8427483030072;7750730
8470001563101;7750253
8425652306010;7750618
3437777;3437777
8411228343770;3437777
3432494;3432494
8410010255109;3432494
8411228343244;3432494
8412251700042;3432494
18410010255106;3432494
3432391;3432391
8410010255093;3432391
8412251800056;3432391
8412251800155;3432391
18410010255090;3432391
3431492;3431492
8410158402014;3431492
8410158402021;3431492
8410158402113;3431492
8410158402120;3431492
3431192;3431192
8410010255062;3431192
8411228343114;3431192
18410010255069;3431192
18411228343111;3431192
3438888;3438888
8411228343886;3438888
3430290;3430290
8410010255086;3430290
8411228343022;3430290
18410010255083;3430290
3431398;3431398
8410010255079;3431398
8411228343138;3431398
18410010255076;3431398
18411228343135;3431398
8420057001010;3431691
8420057001027;3432192
8420057001034;3431595
8410270210603;3417777
58410270210608;3417777
3430199;3430199
8410270027010;3430199
8410270257257;3430199
18410270027017;3430199
38410270027011;3430199
58410270257252;3430199
8410270257646;3430001
8410270257844;3430002
38410270257845;3430002
8410270027126;3430291
28410270027120;3430291
3430394;3430394
8410270027041;3430394
58410270027046;3430394
8410270258520;3430005
38410270256084;3430005
8310154;8310154
84150479;8310154
5012594340085;8310154
5032227341357;8310154
5032227341395;8310154
5032227343245;8310154
5032227346635;8310154
5032227346659;8310154
8413600616700;8310154
28413600616704;8310154
8410410554758;8650456
8410410654755;8650456
8420589000413;8651952
8410410554659;8650353
8410410654656;8650353
8420589100052;8651856
8410410554253;8650154
8410410654250;8650154
8420589200059;8652055
8410410554352;8650250
8410410654359;8650250
3504105002305;7320062
3504105025243;7320062
3504105028428;7320062
3504105019884;7320064
3504105029036;7320064
8410697009903;3410025
48410697009901;3410025
8437001133642;3410008
18437001133649;3410008
3410190;3410190
8410010000181;3410190
8410010261063;3410190
28410010000185;3410190
58410010000186;3410190
8410010262114;3418080
78410010262113;3418080
8410010262862;3412592
68410010262864;3412592
8410010261476;3410005
38410010261477;3410005
8410010263098;3415151
78410010263097;3415151
3411594;3411594
8410010009689;3411594
38410010009680;3411594
8410010262718;3411075
28410010262712;3411075
8410010262688;3411085
28410010262682;3411085
8410010260929;3410009
58410010260924;3410009
8437005095267;3410006
3411296;3411296
8411190104010;3411296
58411190104015;3411296
3414795;3414795
8410660301010;3414795
38410660301011;3414795
3414891;3414891
8410660301034;3414891
38410660301035;3414891
3410991;3410991
8410270007050;3410991
8410270257226;3410991
8410270263920;3410991
18410270007057;3410991
48410270007058;3410991
58410270263925;3410991
8410270007128;3411090
28410270007122;3411090
8410270007043;3411193
8410270257936;3411193
38410270007044;3411193
58410270007048;3411193
3414596;3414596
8410660101016;3414596
18410660101013;3414596
3416195;3416195
8410660101245;3416195
18410660101242;3416195
8432580111012;3412197
18432580111019;3412197
3412194;3412194
8413800030108;3412194
8413800031105;3412194
8413800131102;3412194
8432580121011;3412194
18432580121018;3412194
38432580121012;3412194
3411790;3411790
8410010255116;3411790
8411228341226;3411790
18410010255113;3411790
18411228341223;3411790
3412094;3412094
8410010255123;3412094
8411228341240;3412094
18410010255120;3412094
18411228341247;3412094
8411228341202;3413131
18411228341209;3413131
8437015300016;3416092
3410002;3410002
8436006378430;3410002
3410175;3410175
8410010260042;3410175
68410010260044;3410175
8410010260622;3410411
18410010260629;3410411
8410010006381;3410061
8410010018667;3410024
3410395;3410395
8410010005629;3410395
8410010006206;3410395
8410010261742;3410395
8410010262763;3410395
28410010006200;3410395
68410010227856;3410395
68410010261881;3410395
68410010262444;3410395
68410010262765;3410395
8410010006183;3410046
8410010006145;3410035
8410010006220;3412393
8437005095205;3417890
8437005095250;3410007
3410001;3410001
8411190101057;3410001
38411190101058;3410001
8437001119110;3415996
8437012157002;3411003
8437012157057;3411001
8437012157064;3411002
3410032;3410032
8428358100159;3410032
18428358100156;3410032
8414606567645;3412222
18414606567642;3412222
3412496;3412496
8410660102211;3412496
38410660102212;3412496
8410660046737;3418877
68410660046739;3418877
8410660031894;3410062
18410660031891;3410062
8410660005017;3410063
18410660005014;3410063
8410660041534;3410026
18410660041531;3410026
3435050;3435050
8410660034543;3435050
18410660034540;3435050
3414493;3414493
8410660001026;3414493
18410660001023;3414493
28410660001020;3414493
8437009006337;3410010
18437009006334;3410010
8437009006504;3410012
18437009006501;3410012
28437009006508;3410012
3411005;3411005
8411228341103;3411005
18411228341100;3411005
3410794;3410794
8410010255130;3410794
8411228341073;3410794
18410010255137;3410794
18411228341070;3410794
3417775;3417775
8411228341776;3417775
18411228341773;3417775
3412010;3412010
8411228341318;3412010
18411228341315;3412010
3415050;3415050
8411228341509;3415050
3415897;3415897
8411228234153;3415897
18411228234150;3415897
8437009466025;3410021
18437009466022;3410021
8437009466032;3410016
18437009466039;3410016
3414390;3414390
8410086133028;3414390
8410086133028;3414390
8410086133042;3414390
8410086205121;3414390
8410086205152;3414390
8410086134032;3410003
18410086134039;3410003
3410374;3410374
8410086132519;3410374
18410086132516;3410374
8437009007136;3410011
18437009007133;3410011
3410028;3410028
8432580134417;3410028
18432580134414;3410028
8410086101027;3410693
8410086111026;3410693
8410086111033;3410693
3410498;3410498
8410086113051;3410498
8410086113051;3410498
8410086205046;3410498
38410086205047;3410498
3413196;3413196
8410086113082;3413196
8410086113082;3413196
8410086124033;3413196
8410086205091;3413196
8410086205268;3413196
8432580181015;3410027
18432580181012;3410027
3413491;3413491
8410158431892;3413491
8410158431977;3413491
3450694;3450694
8410660501014;3450694
68410660501016;3450694
3432096;3432096
8410660501038;3432096
68410660501030;3432096
8410270056010;3450198
18410270056017;3450198
8420057002031;3450495
8410270255628;3450053
68410270255620;3450053
3430006;3430006
8410158411054;3430006
8410158411078;3430006
5060065761198;3410014
5060065761204;3410014
5060065760696;3410015
5060065761228;3410015
5060065761174;3410013
5060065761181;3410013
3410153;3410153
8410118014745;3410153
8425131123022;8050464
8411922423198;8420016
8411922423211;8420031
4000530393098;7910652
8420098;8420098
8411922603125;8420098
8420096;8420096
8411922161663;8420096
8411922603507;8420096
8420097;8420097
8411922603750;8420097
8520064;8520064
8411922077537;8520064
4000530654960;7910641
8410086978155;2718080
18410086978152;2718080
8410086878165;2718585
18410086978169;2718585
8000935405323;2720992
8410016001021;2720992
8410016007474;2720992
48410016001029;2720992
8410016001090;2730191
8410016101097;2730191
18410016101094;2730191
28410016101091;2730191
8410016007863;2713896
38410016007864;2713896
8410016012119;2714095
28410016012113;2714095
2731092;2731092
8413636003222;2731092
8410010001416;2710696
58410010001411;2710696
8410010401537;2710153
58410010401532;2710153
2712290;2712290
8410010015864;2712290
58410010015869;2712290
8410344721806;2710014
18410344943663;2710014
8410344113502;2710004
18410344113509;2710004
2710023;2710023
8410344322201;2710023
18410344322208;2710023
2710170;2710170
8410344320016;2710170
18410344320013;2710170
48410344320014;2710170
2710007;2710007
8410344151504;2710007
18410344151501;2710007
58410344151509;2710007
8410344152006;2718989
38410344152007;2718989
2710024;2710024
8410344150873;2710024
18410344150870;2710024
2728585;2728585
8410344700030;2728585
18410344700037;2728585
2720255;2720255
8410344013505;2720255
18410344013502;2720255
48410344013503;2720255
8412732054077;2712894
8412732200115;2712894
8412732400102;2712894
8412732623174;2711003
8412732623167;2711002
8412732094073;2710020
18412732094070;2710020
2710021;2710021
8412732303342;2710021
18412732303349;2710021
8412732044078;2712791
8412732400157;2712791
2710083;2710083
8412732001101;2710083
8412732025015;2710083
2710175;2710175
8412732420018;2710175
8412732623006;2711001
2710186;2710186
8412732420025;2710186
2710179;2710179
8412732015009;2710179
18412732015006;2710179
28412732015003;2710179
8412732200085;2711005
18412732200082;2711005
2712695;2712695
8412732024070;2712695
8412732400041;2712695
8412732200245;2711004
2712990;2712990
8412732084074;2712990
8412732400058;2712990
8412732621071;2712990
2711790;2711790
8410226011520;2711790
8410226011544;2711790
18410226011527;2711790
18410226011541;2711790
2710490;2710490
8410226011100;2710490
8410226011117;2710490
8410226011636;2710490
18410226011107;2710490
18410226011114;2710490
18410226011633;2710490
8410226011742;2720126
18410226011749;2720126
2711890;2711890
8410226012022;2711890
8410226012145;2711890
18410226012029;2711890
18410226012142;2711890
2720004;2720004
8410134020058;2720004
48410134020056;2720004
8410134017577;2720002
48410134105807;2720002
2710271;2710271
8410667005423;2710271
8410667005423;2710271
78410667005422;2710271
2710005;2710005
8410667020853;2710005
48410667020851;2710005
2710006;2710006
8410667020860;2710006
8410667020969;2710006
48410667020868;2710006
38410667020960;2710013
2720392;2720392
8410667001005;2720392
8410667020228;2720392
8410667020563;2720392
18410667001002;2720392
2710011;2710011
8410667021102;2710011
38410667021103;2710011
2710015;2710015
8410667020471;2710015
38410667020472;2710015
2710030;2710030
8410667006109;2710030
38410667006100;2710030
8410667020976;2710012
38410667020977;2710012
2720598;2720598
8410667001104;2720598
18410667001101;2720598
2710025;2710025
8410667021324;2710025
28410667021328;2710025
2710010;2710010
8410667021126;2710010
38410667021127;2710010
2710293;2710293
8410667020020;2710293
48410667020028;2710293
2715048;2715048
8410667020549;2715048
28410667020543;2715048
68410667020541;2715048
8410667005515;2710051
48410667005513;2710051
2710050;2710050
8410667020013;2710050
2721493;2721493
8413636000580;2721493
8413636003154;2721493
28413636003158;2721493
2721795;2721795
8413636003192;2721795
68413636003194;2721795
2720001;2720001
8413636003178;2720001
68413636003170;2720001
2721692;2721692
8413636003185;2721692
68413636003187;2721692
2721191;2721191
8413636000597;2721191
8413636003116;2721191
28413636003110;2721191
2721596;2721596
8413636003161;2721596
68413636003163;2721596
2721390;2721390
8413636000603;2721390
8413636003130;2721390
28413636003134;2721390
2728787;2728787
8413636003208;2728787
68413636003200;2728787
2711390;2711390
8420958146001;2711390
8420958146100;2711390
2711290;2711290
8420958141259;2711290
8420958142256;2711290
2721294;2721294
8413636003147;2721294
28413636003141;2721294
8411165011121;2710094
8411165011909;2710094
8411165023537;2710094
8412732922109;2710018
18412732922106;2710018
8412732922093;2710017
18412732922090;2710017
8412732094080;2710019
8412732940165;2710019
18412732940162;2710019
8412732922086;2710016
18412732922083;2710016
2710003;2710003
8410086692112;2710003
8410086972221;2710003
2710009;2710009
8410086692143;2710009
8410086976229;2710009
8040038;8040038
2000000000718;8040038
5319007;5319007
8410092109185;5319007
8410073001170;5310406
8413239200561;5310020
4000530681195;7911413
4000530583079;7915583
